0,a,あ
1,i,い
2,u,う
3,e,え
4,o,お
5,ka,か
6,ki,き
7,ku,く
8,ke,け
9,ko,こ
10,sa,さ
11,shi,し
12,su,す
13,se,せ
14,so,そ
15,ta,た
16,chi,ち
17,tsu,つ
18,te,て
19,to,と
20,na,な
21,ni,に
22,nu,ぬ
23,ne,ね
24,no,の
25,ha,は
26,hi,ひ
27,fu,ふ
28,he,へ
29,ho,ほ
30,ma,ま
31,mi,み
32,mu,む
33,me,め
34,mo,も
35,ya,や
36,yu,ゆ
37,yo,よ
38,ra,ら
39,ri,り
40,ru,る
41,re,れ
42,ro,ろ
43,wa,わ
44,wo,を
45,n,ん
46,ga,が
47,gi,ぎ
48,gu,ぐ
49,ge,げ
50,go,ご
51,za,ざ
52,ji,じ
53,zu,ず
54,ze,ぜ
55,zo,ぞ
56,da,だ
57,di,ぢ
58,du,づ
59,de,で
60,do,ど
61,ba,ば
62,bi,び
63,bu,ぶ
64,be,べ
65,bo,ぼ
66,pa,ぱ
67,pi,ぴ
68,pu,ぷ
69,pe,ぺ
70,po,ぽ
71,kya,きゃ
72,kyu,きゅ
73,kyo,きょ
74,sha,しゃ
75,shu,しゅ
76,sho,しょ
77,cha,ちゃ
78,chu,ちゅ
79,cho,ちょ
80,nya,にゃ
81,nyu,にゅ
82,nyo,にょ
83,hya,ひゃ
84,hyu,ひゅ
85,hyo,ひょ
86,mya,みゃ
87,myu,みゅ
88,myo,みょ
89,rya,りゃ
90,ryu,りゅ
91,ryo,りょ
92,gya,ぎゃ
93,gyu,ぎゅ
94,gyo,ぎょ
95,ja,じゃ
96,ju,じゅ
97,jo,じょ
98,bya,びゃ
99,byu,びゅ
100,byo,びょ
101,pya,ぴゃ
102,pyu,ぴゅ
103,pyo,ぴょ
